Visiting Density each Half Hour,,,,,,,
Start Time,End Time,MON,TUE,WED,THU,FRI,SAT
10:00 AM,10:30 AM,2,0,1,6,2,0
10:30 AM,11:00 AM,4,0,4,8,6,0
11:00 AM,11:30 AM,3,1,7,8,8,0
11:30 AM,12:00 PM,5,8,6,18,7,0
12:00 PM,12:30 PM,1,3,5,5,7,0
12:30 PM,1:00 PM,3,5,4,9,6,0
1:00 PM,1:30 PM,2,6,8,3,6,0
1:30 PM,2:00 PM,6,6,16,3,9,0
2:00 PM,2:30 PM,8,3,17,2,6,0
2:30 PM,3:00 PM,2,3,22,1,9,0
3:00 PM,3:30 PM,2,5,11,3,4,1
3:30 PM,4:00 PM,4,11,12,13,3,3
4:00 PM,4:30 PM,7,4,11,12,2,8
4:30 PM,5:00 PM,12,5,15,8,7,8
5:00 PM,5:30 PM,4,4,16,3,15,6
5:30 PM,6:00 PM,13,5,10,6,31,7
6:00 PM,6:30 PM,2,3,1,1,17,3
6:30 PM,7:00 PM,6,15,4,2,6,3
7:00 PM,7:30 PM,7,16,3,1,4,5
7:30 PM,8:00 PM,8,5,6,1,0,5
,overflow,13,0,8,15,0,0
,,,,,,,
Visiting Density by Class Block,,,,,,,
Start Time,End Time,MON,TUE,WED,THU,FRI,SAT
10:00 AM,10:30 AM,3.00,0.33,4.00,7.33,5.33,0.00
10:30 AM,11:00 AM,,,,,,
11:00 AM,11:30 AM,,,,,,
11:30 AM,12:00 PM,3.00,5.33,5.00,10.67,6.67,0.00
12:00 PM,12:30 PM,,,,,,
12:30 PM,1:00 PM,,,,,,
1:00 PM,1:30 PM,5.33,5.00,13.67,2.67,7.00,0.00
1:30 PM,2:00 PM,,,,,,
2:00 PM,2:30 PM,,,,,,
2:30 PM,3:00 PM,2.67,6.33,15.00,5.67,5.33,1.33
3:00 PM,3:30 PM,,,,,,
3:30 PM,4:00 PM,,,,,,
4:00 PM,4:30 PM,7.67,4.33,14.00,7.67,8.00,7.33
4:30 PM,5:00 PM,,,,,,
5:00 PM,5:30 PM,,,,,,
5:30 PM,6:00 PM,13.00,5.00,10.00,6.00,31.00,7.00
6:00 PM,6:30 PM,5.75,9.75,3.50,1.25,6.75,4.00
6:30 PM,7:00 PM,,,,,,
7:00 PM,7:30 PM,,,,,,
7:30 PM,8:00 PM,,,,,,
,overflow,13.00,0.00,8.00,15.00,0.00,0.00
,,,,,,,
Visiting Density each Time Slot,,,,,,,
Start Time,End Time,MON,TUE,WED,THU,FRI,SAT
10:00 AM,10:30 AM,3,0,2.5,7,4,0
10:30 AM,11:00 AM,,,,,,
11:00 AM,11:30 AM,4,4.5,6.5,13,7.5,0
11:30 AM,12:00 PM,,,,,,
12:00 PM,12:30 PM,2,4,4.5,7,6.5,0
12:30 PM,1:00 PM,,,,,,
1:00 PM,1:30 PM,4,6,12,3,7.5,0
1:30 PM,2:00 PM,,,,,,
2:00 PM,2:30 PM,5,3,19.5,1.5,7.5,0
2:30 PM,3:00 PM,,,,,,
3:00 PM,3:30 PM,3,8,11.5,8,3.5,2
3:30 PM,4:00 PM,,,,,,
4:00 PM,4:30 PM,9.5,4.5,13,10,4.5,8
4:30 PM,5:00 PM,,,,,,
5:00 PM,5:30 PM,8.5,4.5,13,4.5,23,6.5
5:30 PM,6:00 PM,,,,,,
6:00 PM,6:30 PM,4,9,2.5,1.5,11.5,3
6:30 PM,7:00 PM,,,,,,
7:00 PM,7:30 PM,7.5,10.5,4.5,1,2,5
7:30 PM,8:00 PM,,,,,,
,overflow,13,0,8,15,0,0
